Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
65.0,400,0.0010,2.844,1000,300
67.0,400,0.0030,2.486,1000,300
69.0,400,0.0030,2.223,1000,300
71.0,400,0.0010,1.53,1000,300
73.0,400,0.0,1.545,1000,300
75.0,400,0.0020,1.601,1000,300
15.0,400,398.169,994.483,34,350
17.0,400,396.842,992.271,49,350
19.0,400,394.99,986.064,73,350
21.0,400,391.835,978.377,109,350
23.0,400,385.748,965.586,159,350
25.0,400,374.132,923.068,282,350
27.0,400,345.748,844.226,422,350
29.0,400,273.735,636.763,647,350
31.0,400,167.241,384.906,828,350
33.0,400,78.52,164.594,945,350
35.0,400,34.955,75.921,979,350
37.0,400,12.412,37.677,994,350
39.0,400,6.397,25.143,999,350
41.0,400,2.682,15.79,1000,350
43.0,400,1.364,12.523,1000,350
45.0,400,0.803,9.211,1000,350
47.0,400,0.58,10.186,1000,350
49.0,400,0.319,7.382,1000,350
51.0,400,0.202,7.03,1000,350
53.0,400,0.104,5.308,1000,350
55.0,400,0.082,5.207,1000,350
57.0,400,0.041,4.868,1000,350
59.0,400,0.017,3.461,1000,350
61.0,400,0.018,3.15,1000,350
63.0,400,0.01,2.898,1000,350
65.0,400,0.0050,2.435,1000,350
67.0,400,0.0040,2.283,1000,350
69.0,400,0.0010,2.093,1000,350
71.0,400,0.0,1.87,1000,350
73.0,400,0.0010,1.825,1000,350
75.0,400,0.0,1.505,1000,350
15.0,400,398.19,995.471,39,400
17.0,400,396.598,993.07,54,400
19.0,400,395.336,990.211,72,400
21.0,400,393.093,983.817,114,400
23.0,400,387.403,966.615,177,400
25.0,400,377.087,949.307,231,400
27.0,400,350.138,869.861,401,400
29.0,400,288.126,697.266,584,400
31.0,400,186.744,420.849,794,400
33.0,400,92.956,204.874,912,400
35.0,400,32.895,76.799,980,400
37.0,400,14.484,37.408,993,400
39.0,400,6.654,27.335,996,400
41.0,400,2.484,15.736,1000,400
43.0,400,1.908,15.57,999,400
45.0,400,0.857,11.12,1000,400
47.0,400,0.455,9.906,1000,400
49.0,400,0.255,7.261,1000,400
51.0,400,0.189,6.293,1000,400
53.0,400,0.098,5.549,1000,400
55.0,400,0.07,5.1,1000,400
57.0,400,0.033,4.179,1000,400
59.0,400,0.022,3.881,1000,400
61.0,400,0.011,2.904,1000,400
63.0,400,0.0070,3.304,1000,400
65.0,400,0.0030,2.668,1000,400
67.0,400,0.0020,2.097,1000,400
69.0,400,0.0010,1.969,1000,400
71.0,400,0.0010,1.96,1000,400
73.0,400,0.0010,1.783,1000,400
75.0,400,0.0,1.447,1000,400
15.0,400,398.178,996.776,49,450
17.0,400,397.259,995.688,57,450
19.0,400,395.798,991.951,92,450
21.0,400,393.577,989.205,109,450
23.0,400,389.334,980.368,150,450
25.0,400,382.003,961.855,222,450
27.0,400,360.304,903.519,335,450
29.0,400,307.041,756.363,505,450
31.0,400,205.576,487.756,719,450
33.0,400,101.368,227.853,893,450
35.0,400,50.318,121.165,947,450
37.0,400,22.929,61.477,972,450
39.0,400,12.536,41.505,982,450
41.0,400,4.612,19.977,998,450
43.0,400,2.414,12.96,998,450
45.0,400,1.261,11.545,999,450
47.0,400,0.533,9.469,1000,450
49.0,400,0.671,8.757,999,450
51.0,400,0.167,6.724,1000,450
53.0,400,0.115,5.368,1000,450
55.0,400,0.056,5.551,1000,450
57.0,400,0.032,4.451,1000,450
59.0,400,0.022,3.668,1000,450
61.0,400,0.02,3.595,1000,450
63.0,400,0.0030,3.071,1000,450
65.0,400,0.0050,2.383,1000,450
67.0,400,0.0040,2.379,1000,450
69.0,400,0.0050,2.027,1000,450
71.0,400,0.0070,1.838,1000,450
73.0,400,0.0,1.922,1000,450
75.0,400,0.0,1.672,1000,450
15.0,400,399.13,999.401,19,500
17.0,400,398.694,998.566,31,500
19.0,400,397.927,997.888,42,500
21.0,400,396.706,997.263,40,500
23.0,400,394.225,989.561,105,500
25.0,400,387.028,972.08,150,500
27.0,400,373.266,934.343,237,500
29.0,400,326.595,794.622,448,500
31.0,400,241.242,582.618,602,500
33.0,400,138.522,316.204,789,500
35.0,400,71.621,175.131,881,500
37.0,400,42.718,111.712,927,500
39.0,400,21.261,59.888,965,500
