Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
27.0,400,352.245,914.65,297,400
29.0,400,284.677,736.149,542,400
31.0,400,181.66,489.166,773,400
33.0,400,87.919,257.307,911,400
35.0,400,39.318,158.227,957,400
37.0,400,13.613,99.571,991,400
39.0,400,5.426,80.192,998,400
41.0,400,2.658,65.948,1000,400
43.0,400,1.311,61.187,1000,400
45.0,400,1.074,55.724,999,400
47.0,400,0.835,50.779,1000,400
49.0,400,0.271,44.493,1000,400
51.0,400,0.15,43.055,1000,400
53.0,400,0.106,37.972,1000,400
55.0,400,0.053,34.658,1000,400
57.0,400,0.04,30.03,1000,400
59.0,400,0.037,25.372,1000,400
61.0,400,0.013,23.583,1000,400
63.0,400,0.0080,20.844,1000,400
65.0,400,0.0030,19.102,1000,400
67.0,400,0.0020,19.321,1000,400
69.0,400,0.0040,16.435,1000,400
71.0,400,0.0040,16.145,1000,400
73.0,400,0.0020,11.811,1000,400
75.0,400,0.0010,11.902,1000,400
15.0,400,398.157,999.757,3,450
17.0,400,397.384,999.365,8,450
19.0,400,395.808,998.75,25,450
21.0,400,393.781,996.012,44,450
23.0,400,389.904,991.255,71,450
25.0,400,379.653,970.348,162,450
27.0,400,359.264,927.663,256,450
29.0,400,308.414,804.593,445,450
31.0,400,205.211,546.337,690,450
33.0,400,109.365,314.264,860,450
35.0,400,46.798,171.706,942,450
37.0,400,18.374,111.853,982,450
39.0,400,11.078,89.893,986,450
41.0,400,5.678,70.484,993,450
43.0,400,2.161,60.316,998,450
45.0,400,1.111,52.589,999,450
47.0,400,0.848,49.278,999,450
49.0,400,0.294,42.501,1000,450
51.0,400,0.118,39.874,1000,450
53.0,400,0.092,36.993,1000,450
55.0,400,0.069,31.901,1000,450
57.0,400,0.033,29.916,1000,450
59.0,400,0.028,27.217,1000,450
61.0,400,0.02,24.493,1000,450
63.0,400,0.0060,22.249,1000,450
65.0,400,0.0030,20.094,1000,450
67.0,400,0.0020,17.594,1000,450
69.0,400,0.0010,15.413,1000,450
71.0,400,0.0020,13.686,1000,450
73.0,400,0.0010,11.256,1000,450
75.0,400,0.0,11.198,1000,450
15.0,400,399.193,1000.0,0,500
17.0,400,398.639,999.71,6,500
19.0,400,398.095,999.49,12,500
21.0,400,396.562,998.916,13,500
23.0,400,394.877,995.97,41,500
25.0,400,389.158,986.089,73,500
27.0,400,371.423,950.051,179,500
29.0,400,331.546,851.75,343,500
31.0,400,241.985,628.885,551,500
33.0,400,143.772,401.515,749,500
35.0,400,81.396,255.9,852,500
37.0,400,41.737,165.222,924,500
39.0,400,28.686,130.582,940,500
41.0,400,14.0,93.234,971,500
43.0,400,10.948,86.17,976,500
45.0,400,6.868,66.924,986,500
47.0,400,2.518,58.389,995,500
49.0,400,1.467,49.599,997,500
51.0,400,0.584,43.283,999,500
53.0,400,0.897,37.928,998,500
55.0,400,0.433,34.765,999,500
57.0,400,0.449,31.193,999,500
59.0,400,0.025,26.793,1000,500
61.0,400,0.014,25.44,1000,500
63.0,400,0.017,20.471,1000,500
65.0,400,0.0070,19.186,1000,500
67.0,400,0.0020,18.971,1000,500
69.0,400,0.0050,16.446,1000,500
71.0,400,0.0020,14.301,1000,500
73.0,400,0.0010,11.409,1000,500
75.0,400,0.0,11.172,1000,500
