Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
61.0,400,0.0080,50.285,1000,400
63.0,400,0.0060,42.165,1000,400
65.0,400,0.0050,43.485,1000,400
67.0,400,0.0070,40.648,1000,400
69.0,400,0.0020,33.844,1000,400
71.0,400,0.0020,33.6,1000,400
73.0,400,0.0,29.345,1000,400
75.0,400,0.0,31.082,1000,400
15.0,400,398.179,1000.0,0,450
17.0,400,397.191,1000.0,0,450
19.0,400,395.954,999.707,6,450
21.0,400,393.646,998.78,15,450
23.0,400,389.628,997.93,14,450
25.0,400,381.433,992.283,50,450
27.0,400,361.068,970.107,115,450
29.0,400,306.583,882.829,283,450
31.0,400,208.88,717.92,504,450
33.0,400,103.077,490.049,762,450
35.0,400,45.318,328.408,905,450
37.0,400,23.583,261.94,949,450
39.0,400,9.308,216.979,979,450
41.0,400,5.396,167.963,989,450
43.0,400,1.844,138.793,995,450
45.0,400,1.242,132.238,997,450
47.0,400,0.856,127.017,998,450
49.0,400,0.291,96.776,1000,450
51.0,400,0.179,84.389,1000,450
53.0,400,0.085,78.213,1000,450
55.0,400,0.074,64.81,1000,450
57.0,400,0.062,60.239,1000,450
59.0,400,0.014,54.85,1000,450
61.0,400,0.012,52.166,1000,450
63.0,400,0.01,47.299,1000,450
65.0,400,0.0010,43.404,1000,450
67.0,400,0.0060,36.732,1000,450
69.0,400,0.0020,36.141,1000,450
71.0,400,0.0,32.782,1000,450
73.0,400,0.0010,31.018,1000,450
75.0,400,0.0010,28.688,1000,450
15.0,400,399.203,999.986,1,500
17.0,400,398.668,1000.0,0,500
19.0,400,397.873,1000.0,0,500
21.0,400,396.724,999.936,2,500
23.0,400,393.875,999.251,10,500
25.0,400,387.765,994.774,33,500
27.0,400,369.256,979.863,76,500
29.0,400,323.432,905.92,235,500
31.0,400,246.886,766.771,435,500
33.0,400,138.21,548.607,673,500
35.0,400,78.864,409.087,818,500
37.0,400,42.421,301.415,893,500
39.0,400,26.713,249.187,936,500
41.0,400,11.162,192.445,974,500
43.0,400,10.451,170.331,974,500
45.0,400,4.798,141.85,989,500
47.0,400,3.239,117.322,993,500
49.0,400,2.238,101.674,995,500
51.0,400,0.956,87.869,998,500
53.0,400,0.097,79.796,1000,500
55.0,400,0.843,66.644,998,500
57.0,400,0.044,58.82,1000,500
59.0,400,0.017,54.696,1000,500
61.0,400,0.01,50.852,1000,500
63.0,400,0.012,43.985,1000,500
65.0,400,0.0040,44.117,1000,500
67.0,400,0.0020,38.369,1000,500
69.0,400,0.0010,36.975,1000,500
71.0,400,0.0,33.988,1000,500
73.0,400,0.0,28.366,1000,500
75.0,400,0.0020,28.405,1000,500
